date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-01-24,shot,gun,40,Male,White,Fort Worth,False,attack,Not fleeing,False,-97.38,32.678,Texas
2015-01-25,shot,gun,26,Male,Hispanic,Pueblo,False,attack,Car,False,-104.574,38.285,Colorado
2015-01-25,shot,gun,59,Male,Unknown,Winslow,False,attack,Not fleeing,False,-74.929,39.749,New Jersey
2015-01-26,shot,vehicle,17,Female,Hispanic,Denver,False,other,Not fleeing,False,-104.909,39.754,Colorado
2015-01-26,shot,gun,68,Male,White,New Hope,True,attack,Not fleeing,False,-93.386,45.036,Minnesota
2015-01-26,shot,unarmed,24,Male,Hispanic,Tahoka,False,other,Car,False,-101.666,33.166,Texas
2015-01-26,shot,knife,34,Male,Hispanic,Wasco,True,other,Not fleeing,False,-119.335,35.589,California
2015-01-27,shot,knife,39,Female,White,Omaha,True,attack,Not fleeing,False,-95.99,41.243,Nebraska
2015-01-27,shot,Unknown,26,Male,Native American,Phoenix,False,other,Not fleeing,False,-112.113,33.495,Arizona
2015-01-27,shot,gun,29,Male,White,Morenci,False,attack,Not fleeing,False,-109.326,33.054,Arizona
2015-01-27,shot,gun,33,Male,Black,Columbus,False,attack,Not fleeing,False,-82.997,39.879,Ohio
2015-01-28,shot,gun,45,Male,White,Sunset,False,attack,Not fleeing,False,-97.828,33.47,Texas
2015-01-28,shot,gun,26,Male,White,Rosenberg,False,attack,Not fleeing,False,-95.784,29.558,Texas
2015-01-28,shot and Tasered,hammer,35,Male,Asian,Stockton,True,attack,Not fleeing,False,-121.316,38.029,California
2015-01-29,shot,gun,31,Male,White,Wyoming,True,attack,Not fleeing,False,-85.66,42.894,Michigan
2015-01-29,shot,unarmed,42,Male,White,Stillwater,False,other,Foot,False,-97.05,36.121,Oklahoma
2015-01-30,shot,gun,48,Male,White,Billings,False,attack,Foot,False,-108.513,45.79,Montana
2015-01-31,shot,gun,31,Male,Hispanic,Houston,False,attack,Not fleeing,False,-95.72,29.861,Texas
2015-01-31,shot and Tasered,knife,54,Male,Black,Randallstown,True,other,Not fleeing,False,-76.821,39.38,Maryland
2015-02-02,shot,gun,42,Male,White,Apple Valley,True,attack,Not fleeing,False,-117.177,34.417,California
2015-02-02,shot,gun,17,Male,White,Bay City,False,attack,Not fleeing,False,-83.873,43.599,Michigan
